# Exported on: 20.06.2024 17:21:16
Americano|Aperetif|Longdrink|Tumbler||4 cl|Bitterlikör|4 cl|roter Wermut||Soda|1|2|3|4|5|6|7|8|9|0|11|12|13|14|15|16|17|18|19|20|21|Direkt im Glas, mit Soda aufgießen, kalt rühren, mit Orangenscheibe im Glas|normal|22|23|24|25|
Aperol Spritz|Aperetif|Longdrink|Weinglas||9 cl |Prosecco|6 cl|Bitterlikör|3 cl|Soda||||||||||||||||||||||Eis ins Glas, Zutaten rein, mit Orangenschnitz garnieren|Cocktail des Tages|||||
=====
Wodka|1
Gin|1
Brandy|0
Angostura Bitter|1
Cachaca|1
Absolut Wodka Zitrone|1
gereifter Rum|0
ungereifter Rum|1
Tequila|1
Cognac|1
Korn|1
Triple Sec|1
Jamaica-Rum|0
Peychaud's Bitters|0
Absinth|1
Whisky|1
Overproof Rum|0
Orange Bitter|0
Pernod|1
Bitterlikör|1
Prosecco|1
Kaffeelikör|1
Blue Curacao|1
Likör 43|1
Galliano Vanilla|0
Lillet|1
Nocello|1
Creme de Cacao weiß|1
Whiskylikör|1
Pfirsichlikör|1
Creme de Bananes|0
Amaretto|1
Brombeerlikör|1
roter Wermut|1
trockener Wermut|1
Weißwein|1
Pfefferminzlikör|0
Kirschlikör|1
Kräuterlikör|0
Passionsfruchtlikör|1
Falernum|0
Orangensaft|1
Cranberrysaft|1
Tomatensaft|1
Grapefruitsaft|1
Ananassaft|1
Preiselbeersaft|0
Maracujasaft|1
Limettensaft|1
Zitronensaft|1
Soda|1
Sprite|1
Milch|1
Cola|1
Espresso|1
Tonic Water|0
Ginger Ale|1
Schweppes Wild Berry|0
Bitter Lemon|0
Kaffee|1
Orange|1
Gurke|0
Brombeeren|0
Olive|0
Minze|0
Basilikum|0
Ananas|0
Erdbeeren|0
Cocktailkirschen|0
Himbeeren|1
Kirschen|0
Zuckersirup|1
Vanillesirup|1
Kokossirup|1
Himbeersirup|1
Ahornsirup|1
Grenadine|1
Tabasco|1
Worcestersauce|1
Pfeffer|1
Salz|1
Sahne|1
weißer Rohrzucker|1
Schokoflocken|1
Kokosnusscreme|1
Honig|1
Zucker|1
Sangrita|1
Cream of Coconut|1
Würfelzucker|1
Honigwasser|1
Eiweiß|1
