# Exported on: 16.08.2024 15:16:16
Americano|Aperitif|Longdrink|Tumbler||4 cl|Bitterlikör|4 cl|roter Wermut||Soda|||||||||||||||2|0|0|0|1||1|Direkt im Glas, mit Soda aufgießen, kalt rühren, mit Orangenscheibe im Glas oder Zitronenzeste; klassischerweise Campari nutzen, alternativ Aperol. |normal|||||Wir treffen den Americano im Laufe unserer Cocktail-Nerd-Laufbahn zum ersten Mal bei der Recherche nach dem Negroni. Als Graf Camillo Negroni 1919 den wohl bekanntesten Signature Drink aller Zeiten ins Leben rief, lautete sein Auftrag an den Bartender Fosco Scarselli grob: “Mach mir einen Americano, aber stärker.” Der ersetzte daraufhin das Soda in dem Campari-Drink durch Gin. Auch, wenn der Negroni heute deutlich bekannter ist, der Americano ist als Aperitif-Drink nie ganz von der Bildfläche verschwunden, seit er im 19. Jahrhundert als Milano-Torino große Erfolge feierte.<br><br>Milano, weil Bitter-Aperitife und speziell Campari hier große Erfolge feierten, Torino, weil roter Wermut in Form des Carpano Antica Formula eben aus Turin stammt (und von hier bis heute die meisten herausragenden Vertreter der Kategorie kommen). Americano hieß die Mischung ab dem Beginn des 19. Jahrhunderts irgendwann, weil er zu der Zeit vor allem in den Staaten ab ging wie Schmidts Katze.  Der Name hat sich gehalten, der Aperitif selbst wurde auf den meisten Barkarten der Welt durch Aperol Spritz und Hugo ersetzt. Und so sehr wir euch diese Drinks gönnen und so gerne wir uns – sorry, falsch das euer Bild von uns zerstört – selber ab und an einen roten Spritz gönnen: der Americano wird diese Drinks zu Recht überleben, weil er unglaublich simples, krass gutes, derbe zeitloses Zeug ist.
Aperol Spritz|Aperitif||Weinglas||9 cl |Prosecco|6 cl|Bitterlikör|3 cl|Soda|||||||||||||||3|1|0|0|1||0|Eis ins Glas, Zutaten rein, mit Orangenschnitz garnieren; falls vorhanden: Minzezweig und /oder Blutorange als Deko. Gerne einen nicht süßen Prosecco nehmen|normal|||| Hä, wieso? Denn der Aperol Spritz ist den Cocktail-Connaisseurs nun mal das, was Kakao-Afficionados die weiße Schokolade ist oder Weinkennern ein Tetrapack mit Trauben drauf. Jetzt ist der Aperol aber, obwohl außerhalb der Szene weithin überschätzt, beileibe kein schlechtes Produkt und ein Spritz kein schlechter Drink. Wer was anderes behauptet, stellt jetzt bitte sofort seinen Americano oder Negroni Sbagliato auf den Tresen und geht.<br><br>Dass der Aperol Spritz in den letzten Jahren und Jahrzehnten zu Tode gelifestyled wurde, dafür kann er nichts. Genauso wenig dafür, dass ihn die meisten Bars, Cafés und Wirtshäuser mit den süßesten auffindbaren Perlweinen aufschütten und jedweden Anschein aperitiftastischer Bitterkeit unter einer Flut von Zucker und Beerengedöns ersäufen. |
Black Russian|Espresso|Shortdrink|Tumbler||6 cl|Wodka|3 cl|Kaffeelikör|||||||||||||||||1|1|0|0|2||0|Beide Zutaten auf Eis direkt Tumbler rühren; keine Garnitur; Mr Black alleine soll zu herb sein. Evtl. auf eine Mischung setzen|normal|||||Der Black Russian hat keinen brillanten Kultfilm als Aushängeschild, dessen Fangemeinde ihn seit 25 Jahren vor sich herträgt. Nein, dieser Drink hat nur seine beiden Zutaten und seine bescheidene Entstehungsgeschichte. Etwa 1949 erfindet ihn der Bartender Gustave Tops im Hotel Metropole in Brüssel. Gerüchte besagen, dass er ihn speziell für den luxemburgischen US-Botschafter Perle Mesta aus der Taufe gehoben hat.<br><br>Ergibt Sinn: die Amis sind zu dieser Zeit ganz heiß auf Wodka und dass ein Drink nach der Herkunft der Spirituose benannt wird, ist damals wie heute absolut üblich. Stellt sich nur noch die Frage: braucht man den Black Russian noch oder wird er schon in den 1960ern obsolet, als zum ersten Mal jemand die Kaffeesahne ausgepackt und drüber gegossen hat? Na gut, eigentlich haben wir die Frage schon beantwortet – denn dieser Cocktail ist perfekt für alle, die auch morgens ihren Wachmacher gerne stark und tiefschwarz genießen. Ohne Milch, ohne Zucker, ohne Scheiß. Das ist zugegeben nicht annähernd so massenkompatibel wie der Lebowski-Signature – aber wen interessiert schon, was die Masse mag?
Bloody Mary|Aperitif||Longdrinkglas||5 cl|Wodka|10 cl|Tomatensaft|1,5 cl|Zitronensaft|3 Spritzer|Tabasco|4 Spritzer|Worcestersauce||Salz||Pfeffer|||||||3|0|2|1|1||0|Alle Zutaten zusammen auf Eis ordentlich shaken; in ein Longdrinkglas mit frischem Eis gießen und mit einer Selleriestange garnieren; Sangrita ist eine gute Option|versteckt|||||Der Drink entstand in den 1920ern und ist eng verwandet mit dem Red Snapper, der heutzutage allerdings mit Gin gemixt wird. Der ist eine Herausforderung für sich – den Wacholder so in dieses deftige Ungetüm zu pressen, dass es auch Spaß macht, ist geschmacklich deutlich fordernder als Wodka in Tomatensaft zu schütten. Zurück geht die Bloody Mary selbst sehr wahrscheinlich auf den Barkeeper Fernand Petoit, allerdings beanspruchen den Ruhm für die Erfindung der Bloody Mary auch andere Mix-Virtuosen für sich.<br><br>Genauso unklar ist übrigens der Ursprung des Namens. Mal geht er auf die blutrünstige englische Königin Elizabeth die erste zurück, ein anderes Mal soll ein Stammgast Petoits die Idee dafür gehabt haben; den erinnerte der Cocktail an eine Kellnerin namens Mary und die arbeitete in einer Bar namens Bucket of Blood. Bucket. of. Blood. Geil, oder? Egal was wirklich wahr ist, wir wollen an speziell diese Geschichte glauben, weil der Barname so unglaublich cool ist, dass die Star Wars-Cantina daneben aussieht wie das Smalland beim Ikea.
Blue Lagoon|Longdrink||Hurricaneglas|Longdrinkglas|4 cl|Wodka|3 cl|Blue Curacao|1,5 cl|Zitronensaft|12 cl|Sprite|||||||||||||2|3|0|1|1||0|In ein Glas  voller Eis (alternativ Crushed Ice) den Wodka, den Zitronensaft und den Blue Curacao geben und gut umrühren; mit der Zitronenlimonade bis obenhin toppen; mit Zitronenrad garnieren|normal|||||Andy MacElhone, Sohn des legendären Harry MacElhone aus Harry’s New York Bar in Paris, gilt als Erfinder des Blue Lagoons. Irgendwann Ende der 1960er, Anfang der 1970er soll er den Drink zum ersten Mal gemixt haben, sprich sogar noch weit vor der Veröffentlichung des gleichnamigen, unsäglichen Films. Die Bar ist übrigens unseres Wissensstands auch heute noch in Familienbesitz, wird von Andys Schwiegertochter geführt und erfreut sich immer noch großer Beliebtheit. Der Drink dagegen blieb in den 80ern stecken. Mit einem Hauch Zitronensaft lässt er sich aber ganz okay revitalisieren.
Bramble|Sours||Tumbler||4 cl|Gin|2 cl|Zitronensaft|1 cl|Zuckersirup|2 cl|Brombeerlikör|6-8|Brombeeren|||||||||||1|2|3|3|1||0|Brombeeren in einem Tumbler mit dem Stößel andrücken; mit Crushed Ice auffüllen; Gin, Zitronensaft und Zuckersirup auf Eis shaken und in den Tumbler abseihen; Mit Brombeerlikör toppen und mit Brombeeren und Zitronenscheibe garnieren|normal|||||Neben dem Espresso Martini ist der Bramble der wohl bekannteste Drink des britischen Barkeepers Dick Bradsell (1959–2016) und entstand 1984 im Fred’s Club im Londoner Stadtteil Soho. In einem Interview erklärte Bradsell 2011, er sei von einem Singapore Sling ausgegangen und habe seine Version aus Gin, Zitrone, Zucker und Sodawasser – serviert in einem hohen Glas und zum Schluss mit Crème de Mûre (Brombeerlikör) und Bénédictine gefloatet – lediglich vereinfacht in einem kleineren Glas zubereitet und den Bramble damit zu einem „britischen Drink“ mit britischen Zutaten (bis auf die Zitrone) gemacht.<br><br>Seinen Siegeszug startete der Drink in England, wo er schon bald auf keiner Karte mehr fehlte, setzte ihn schnell in den USA fort und ist dank des immer noch anhaltenden Gin-Booms auch in immer mehr deutschen Bars zu finden.<br><br>2011 nahm die International Bartenders Association (IBA) den Bramble in ihre Liste der offiziellen IBA-Cocktails auf und führt ihn als „all day Cocktail“ in der Rubrik New Era Drinks.
Brandy Eggnog|Digestif|Martini|Longdrinkglas||6 cl|Brandy|1 cl|Zuckersirup|1|Ei|12 cl|Milch|2 cl|Sahne|2 Spritzer|Angostura|||||||||1|2|0|0|1||0|Alle Zutaten werden mit ein paar Eiswürfeln in einem Shaker lange und kräftig geschüttelt und in ein Longdrinkglas  abgegossen|normal|||||Ein Eggnog ist ein alkoholisches Mixgetränk mit Ei, Milch und Sahne. Beim Brandy Eggnog kommt natürlich ein Brandy zum Einsatz, abgerundet mit etwas Angostura. Ursprünglich wurden Eggnogs im Winter als Longdrink warm getrunken, mittlerweile ist die kalte Variante aber genauso üblich. Aufgetaucht ist das erste Rezept im Jahr 1796 in Philadelphia und der Brandy Eggnog gilt sowohl in Kanada als auch in den USA als DER Cocktail für Weihnachten und Neujahr. Einige Kulturhistoriker halten an England als Ursprungsland fest. Wie dem auch sei, der Brandy Eggnog ist ein wunderbar cremiger und leckerer Cocktail, der unglaublich gut in die kalte Jahreszeit passt. Sowohl als Digestif als auch als Begleiter zu ein paar leckeren Winterkeksen geeignet!
El Presidente|Klassiker|Shortdrink|Coupette||5 cl|gereifter Rum|5 cl|trockener Wermut|0,5 cl |Triple Sec|1 BL|Grenadine|||||||||||||1|0|0|0|3||1|Alle Zutaten in ein Rührglas geben; mit Eis auffüllen; ungefähr eine Minute lang rühren; in ein gefrostetes Glas abseihen; mit der Orangenzeste abspritzen und garnieren; kubanischen Rum verwenden|normal|||||Der El Presidente entstand in den 1910er Jahren in einem kleinen Café in Havanna und stammt von Constantino Ribalaigua y Vert. Im Jahr 1919 wird berichtet, dass er der beliebteste Drink der Kubaner sei, und noch 1928 wird er zu den am häufigsten zubereiteten Getränken in Havanna gezählt. Benannt wurde der El Presidente wohl nach Mario García Menocal, der von 1913 bis 1921 kubanischer Präsident war.<br><br>Constantino Ribalaigua y Vert war eine wichtige Persönlichkeit in der Geschichte der kubanischen Barkultur. Von ihm stammen auch andere kubanische Drinks, darunter zahlreiche Daiquiri-Varianten. Er betrieb die Bar La Florida, auch Floridita genannt, die ein beliebter Treffpunkt amerikanischer Touristen wurde. Darunter war auch Ernest Hemingway, der dort regelmäßig seine Daiquiris trank.<br><br>Der El Presidente ist der Aristokrat unter den kubanischen Getränken. Diesem Ruf wird er aber nur gerecht, wenn er richtig zubereitet wird. David Wondrich hat über diese Problematik ausführlich berichtet. Anfangs konnte er nicht nachvollziehen, was daran aristokratisch sein sollte. Er probierte die verschiedensten Rezepte, die verschiedensten Zutaten, spielte mit den Mengenverhältnissen, aber das Ergebnis war bestenfalls nur mittelmäßig. Später wandte er sich dem Drink erneut zu, denn seine Aussage – „Im Allgemeinen waren Getränke aus einem bestimmten Grund beliebt. Wenn man den Grund nicht findet, macht man wahrscheinlich irgendetwas falsch.“ – war auch hier der Schlüssel zum Erfolg.<br><br>1928 führte der El Presidente fast zu diplomatischen Spannungen, denn er soll das Lieblingsgetränk des damaligen kubanischen Präsidenten Gerardo Machado gewesen sein und sollte auf einem gemeinsamen Abendessen anlässlich der 6. Panamerikanischen Konferenz serviert werden. Auch der US-amerikanische Präsident Calvin Coolidge nahm daran Teil. Deshalb machte man sich in den USA Gedanken darüber, ob Präsident Coolidge diesen trinken würde, befand sich sein Land doch in der Prohibition. Auch fragte man sich, ob es zu diplomatischen Spannungen käme, würde er keinen Champagner trinken, wie es die gesellschaftliche Etikette forderte, um auf die ausgebrachten Trinksprüche der anderen lateinamerikanischen Präsidenten anzustoßen. Wie zu erwarten war, verweigerte Präsident Coolidge jede Form von Alkohol.
Daiquiri|Sours||Coupette||6 cl|ungereifter Rum|3 cl|Limettensaft|1,5 cl|Zuckersirup|||||||||||||||1|1|0|3|2||0|Alle Zutaten in einen Shaker geben und auf Eis shaken, ungefähr 15 Sekunden lang; in ein Glas abseihen und mit der Limettenzeste garnieren|normal||||Daiquiris sind auf Beach Partys das richtig geile Zeug: Lecker fruchtig, rot, zu 80 Prozent Wassereis – gibt’s etwas Erfrischenderes? Doch, ja. Denn das, was man auf Beachpartys oder Festival-Ständen da so in die Hand gedrückt bekommt, das ist gar kein Daiquiri, sorry. Im besten Fall wäre die Crushed Ice-Pampe ein Frozen Daiquiri, und die könnte sogar richtig lecker sein, wenn man sie mit Liebe macht. Aber ein richtiger, echter Daiquiri ist etwas simples, filigranes und doch kraftvolles, mit säuerlicher Süße und dem Aroma kubanischen Rums. Er ist eigentlich ein Rum Sour.<br><br>|Der Daiquiri ist ein kubanischer Drink und wie bei seinem Kumpel Mojito geht man davon aus, dass sich Ernest Hemingway die Dinger literweise reingegönnt hat. Erfunden wurde er der Legende nach in der namensgebenden Stadt Daiquiri, von wo er sich nach Havanna ausbreitete. Dort, in der Bar El Floridita, versorgte ein Bartender namens Constantino Ribalaigua Vert den großen Literaten mit Drinks. Lustigerweise trank Hemingway seinen Daiquiri allerdings in einer komplett anderen Variante, nämlich mit viel Maraschino-Likör und Grapefruit – heute eher bekannt als Hemingway Daiquiri.<br><br>
Cuba Libre|Klassiker|Longdrink|Longdrinkglas||6 cl|gereifter Rum|12 cl|Cola|3 cl|Limettensaft|||||||||||||||3|2|0|1|1||0|Alle Zutaten auf Eis in ein Longdrink-Glas gießen, die Cola zuletzt; mit einem Limettenschitz garnieren|normal|||||Entstanden ist die Kombi aus Rum und Cola der Legende nach im Jahr 1898, zum Ende des spanisch-amerikanischen Krieges. Nach der Befreiung Kubas feierten angeblich die amerikanischen Soldaten – die hatten Coca Cola von zu Hause im Gepäck – mit den Kubanern, die auf Kisten voller Rum saßen. Limetten lagen auch noch irgendwo herum und eins führte zum anderen. Der Name entstand aus dem Trinkspruch zu dieser aufregenden Kreation: “Viva Cuba Libre!” . Egal, welche Entstehungsgeschichte zum Drink man sich anhört, jede davon klingt zumindest ähnlich. Dass der Drink dann irgendwann nach dem zweiten Weltkrieg auch zu uns rüberschwappte, lag wohl maßgeblich an der steigenden Verbreitung von Cola und Rum in unseren Breitengraden – nur blöd, dass Limetten erst Jahrzehnte später breit verfügbar waren.<br><br>Dass der Cuba Libre selbst in Zeiten noch Hochkonjunktur hatte, da die Kunst des gehobenen Cocktails praktisch ausgestorben war – wir reden mit euch, 80er und 90er! -, lag dann wohl auch an der Einfachheit des Drinks und daran, wie verflucht gut Coke und Rum miteinander harmonieren. Doof nur, dass sich aus diesen Zeiten eben nicht der Cuba Libre bei uns gehalten hat (auch, wenn er auf Barkarten oft noch so hieß), sondern eben der schlichtere, fast schon langweilige Rum Cola. Der Unterschied? Ja, genau: die Limette.
