# Exported on: 27.06.2024 22:08:17
Americano|Aperetif|Longdrink|Tumbler||4 cl|Bitterlikör|4 cl|roter Wermut||Soda|||||||||||||||2|0|0|0|1||1|Direkt im Glas, mit Soda aufgießen, kalt rühren, mit Orangenscheibe im Glas|normal|||||
Aperol Spritz|Aperetif||Weinglas||9 cl |Prosecco|6 cl|Bitterlikör|3 cl|Soda|||||||||||||||3|1|0|0|1||0|Eis ins Glas, Zutaten rein, mit Orangenschnitz garnieren|normal|||||
Black Russian|Shortdrink||Tumbler||6 cl|Wodka|3 cl|Kaffeelikör|||||||||||||||||1|1|0|0|2||0|Beide Zutaten auf Eis direkt Tumbler rühren; keine Garnitur|normal|||||
Bloody Mary|Aperetif|Klassiker|Highballglas||5 cl|Wodka|10 cl|Tomatensaft|1,5 cl|Zitronensaft|3 Spritzer|Tabasco|4 Spritzer|Worcestersauce||Salz||Pfeffer|||||||3|0|2|1|1||0|Alle Zutaten zusammen auf Eis ordentlich shaken; in ein Longdrinkglas mit frischem Eis gießen und mit einer Selleriestange garnieren|normal|||||
Blue Lagoon|Highballs||Highballglas||4 cl|Wodka|3 cl|Blue Curacao|1,5 cl|Zitronensaft|12 cl|Sprite|||||||||||||2|3|0|1|1||0|In ein Highballglas  voller Eis den Wodka, den Zitronensaft und den Blue Curacao geben und gut umrühren; mit der Zitronenlimonade bis obenhin toppen; mit Zitronenrand garnieren|normal|||||
Bramble|Sours||Tumbler||4 cl|Gin|2 cl|Zitronensaft|1 cl|Zuckersirup|2 cl|Brombeerlikör|6-8|Brombeeren|||||||||||1|2|3|3|1||0|Brombeeren in einem Tumbler mit dem Stößel andrücken; mit Crushed Ice auffüllen; Gin, Zitronensaft und Zuckersirup auf Eis shaken und in den Tumbler abseihen; Mit Brombeerlikör toppen und mit Brombeeren und Zitronenscheibe garnieren|normal|||||Neben dem Espresso Martini ist der Bramble der wohl bekannteste Drink des britischen Barkeepers Dick Bradsell (1959–2016) und entstand 1984 im Fred’s Club im Londoner Stadtteil Soho. In einem Interview erklärte Bradsell 2011, er sei von einem Singapore Sling ausgegangen und habe seine Version aus Gin, Zitrone, Zucker und Sodawasser – serviert in einem hohen Glas und zum Schluss mit Crème de Mûre (Brombeerlikör) und Bénédictine gefloatet – lediglich vereinfacht in einem kleineren Glas zubereitet und den Bramble damit zu einem „britischen Drink“ mit britischen Zutaten (bis auf die Zitrone) gemacht.<br><br>Seinen Siegeszug startete der Drink in England, wo er schon bald auf keiner Karte mehr fehlte, setzte ihn schnell in den USA fort und ist dank des immer noch anhaltenden Gin-Booms auch in immer mehr deutschen Bars zu finden.<br><br>2011 nahm die International Bartenders Association (IBA) den Bramble in ihre Liste der offiziellen IBA-Cocktails auf und führt ihn als „all day Cocktail“ in der Rubrik New Era Drinks.
Brandy Eggnog|Longdrink||Longdrinkglas||6 cl|Brandy|1 cl|Zuckersirup|1|Ei|12 cl|Milch|2 cl|Sahne|2 Spritzer|Angostura|||||||||1|2|0|0|1||0|Alle Zutaten werden mit ein paar Eiswürfeln in einem Shaker lange und kräftig geschüttelt und in ein Longdrinkglas  abgegossen|normal|||||
El Presidente|Shortdrink||Coupette||5 cl|gereifter Rum|5 cl|trockener Wermut|0,5 cl |Triple Sec|1 BL|Grenadine|||||||||||||1|0|0|0|3||1|Alle Zutaten in ein Rührglas geben; mit Eis auffüllen; ungefähr eine Minute lang rühren; in ein gefrostetes Glas abseihen; mit der Orangenzeste abspritzen und garnieren|normal|||||
Daiquiri|Sours||Coupette||6 cl|ungereifter Rum|3 cl|Limettensaft|1,5 cl|Zuckersirup|||||||||||||||1|1|0|3|2||0|Alle Zutaten in einen Shaker geben und auf Eis shaken, ungefähr 15 Sekunden lang; in ein Glas abseihen und mit der Limettenzeste garnieren|normal|||||
Cuba Libre|Klassiker|Highballs|Highballglas||6 cl|gereifter Rum|12 cl|Cola|3 cl|Limettensaft|||||||||||||||3|2|0|1|1||0|Alle Zutaten auf Eis in ein Highball-Glas gießen, die Cola zuletzt; mit einem Limettenschitz garnieren|normal|||||
Cosmopolitan|Sours||Martiniglas||4 cl|Wodka|1 cl|Triple Sec|2 cl|Limettensaft|2 cl|Cranberrysaft|||||||||||||2|2|1|2|2||0|Alle Zutaten für etwa 15 Sekunden auf Eis shaken; in ein Martiniglas abseihen|normal|||||
Caipirinha|Klassiker|Highballs|Caipirinaglas||6 cl|Cachaca|1|Limette|1 TL|weißer Rohrzucker|||||||||||||||3|2|1|1|3||0|Im Shaker die Limetten und den Zucker mit einem Stößel anpressen, bis sich der Zucker aufgelöst hat; Cachaça und Eiswürfel dazugießen und kräftig shaken; mit den Eiswürfeln ins Glas gießen|normal|||||
Gin Fizz|Fizz und Collins||Highballglas||6 cl|Gin|2 cl|Zuckersirup|2 cl|Zitronensaft||Soda|||||||||||||1|1|0|1|2||0|Alle Zutaten außer der Soda auf Eis shaken; in einem Highball-Glas auf Eis abseihen; mit einem Spritzer Soda toppen und mit einer Zitronenzeste garnieren|normal|||||
Gin Tonic|Klassiker|Highballs|Highballglas||6 cl|Gin|18 cl|Tonic Water|||||||||||||||||3|1|0|1|1||1|Eiswürfel ins Highballglas geben; Gin eingießen; mit Tonic Water aufgießen; mit Zitronenzeste, Gurke oder passenden Kräutern garnieren|normal|||||
